task2_id,assigned_gold_ids,action_type,requirement_name,semantic_similarity_to_assigned_gold,passes_retention_threshold
T2-000001,GOLD-001,준수,최소 요구조건·변경·증감 협의,1.0,True
T2-000002,GOLD-002,준수,타 대학 분석·최적화 홈페이지 구축,0.971186,True
T2-000003,GOLD-003,준수,전자정부 표준프레임워크·반응형 웹,1.0,True
T2-000004,GOLD-004,준수,CMS·웹 접근성·호환성·표준문법,1.0,True
T2-000005,GOLD-005,제공,수요기관 콘텐츠 활용 개발,0.915061,True
T2-000006,GOLD-002,준수,홈페이지 이미지 저작권,0.943572,True
T2-000007,GOLD-006,분석,웹 로그 분석·이용률·방문경로·에러,1.0,True
T2-000008,GOLD-007,보안,개인정보 동의·SSL 암호화,1.0,True
T2-000009,GOLD-005,제공,사용자 중심 디자인·기능 설계,0.932376,True
T2-000010,GOLD-005,관리,직관적인 메뉴구성·주관부서 추가메뉴,0.943989,True
T2-000011,GOLD-005,제공,웹 스타일 가이드·일관성 유지,0.907649,True
T2-000012,GOLD-007,보안,개인정보·비밀번호 암호화,0.940775,True
T2-000013,GOLD-008,제공,다중 디바이스·브라우저 반응형 웹,1.0,True
T2-000014,GOLD-009,제공,모바일 OS·브라우저 호환성,1.0,True
T2-000015,GOLD-005,제공,간결 메뉴·UI 접근성·가독성·편리성·확장성,0.932566,True
T2-000016,GOLD-010,산출,RISE사업단·센터 랜딩페이지,1.0,True
T2-000017,GOLD-011,준수,현재 운영중인 CMS 호환성,1.0,True
T2-000018,GOLD-012,준수,현재 운영중인 CMS 기능 활성화,1.0,True
T2-000019,GOLD-013,권한,관리자 시스템 접근 제어,1.0,True
T2-000020,GOLD-005,관리,메뉴·콘텐츠·게시판 관리,0.96332,True
T2-000021,GOLD-014,조회,사업단 통합게시판 게시글 조회,1.0,True
T2-000022,GOLD-015,입력,온라인 신청·문의 입력,1.0,True
T2-000023,GOLD-016,조회,온라인 신청·문의 관리자 확인,1.0,True
T2-000024,GOLD-017,연계,우리대학 SSO 로그인 연계,1.0,True
T2-000025,GOLD-018,조회,사업단 성과 조회,1.0,True
T2-000026,GOLD-019,제공,포털 검색 최적화,0.976519,True
T2-000027,GOLD-019,제공,LLM 검색 최적화,0.9828,True
