gold_id,requirement_name,source_task2_ids,source_task2_count,source_pair_min_similarity,source_pair_average_similarity,source_to_final_min_similarity,overmerge_review
GOLD-001,다중 LLM 통합·확장성·API 최적화 설계,T2-000001; T2-000003; T2-000004; T2-000005,4,0.857692,0.894751,0.909489,False
GOLD-002,온프레미스 독립 운영 챗봇,T2-000002; T2-000017,2,0.884844,0.884844,0.911635,False
GOLD-003,AI 모델 선택·응답 파라미터 조정,T2-000006; T2-000026,2,0.93281,0.93281,0.95864,False
GOLD-004,프롬프트 템플릿 관리·편집·활용,T2-000007; T2-000008; T2-000024,3,0.925912,0.932361,0.950346,False
GOLD-005,대화형 UX·스레드 대화,T2-000009; T2-000019,2,0.901149,0.901149,0.916309,False
GOLD-006,대화 히스토리 관리,T2-000010; T2-000011; T2-000012; T2-000013,4,0.889904,0.929768,0.898666,False
GOLD-007,상용 LLM API 통합 관리 및 사용량 모니터링,T2-000014; T2-000016,2,0.924551,0.924551,0.924506,False
GOLD-010,사용자 그룹별 챗봇 설계·검색·매칭·환경·통계 관리,T2-000020; T2-000027; T2-000029; T2-000030; T2-000031; T2-000037; T2-000049; T2-000050,8,0.897238,0.920331,0.908602,False
GOLD-011,다형식 문서 업로드·통합·데이터 추출,T2-000021; T2-000022,2,0.911526,0.911526,0.963392,False
GOLD-017,홈페이지·게시판 최신정보 자동 학습 및 질의응답,T2-000034; T2-000036,2,0.935709,0.935709,0.96897,False
GOLD-019,대화·통계·사용량 엑셀 다운로드,T2-000038; T2-000039; T2-000051,3,0.895171,0.922271,0.934969,False
GOLD-020,ARS 전화 응답·음성 대화·대량 통화,T2-000040; T2-000041; T2-000042,3,0.92049,0.932229,0.946825,False
GOLD-021,학내 통합인증·이메일 ID·외부 사용자 차단,T2-000043; T2-000044,2,0.916364,0.916364,0.947938,False
