gold_id,missing_required_fields,required_field_completeness,requirement_name_length,requirement_detail_length,name_length_ok,detail_length_ok,name_not_placeholder,detail_not_placeholder,detail_has_sentence_end,source_task2_count,source_atomic_count,source_fur_count,name_detail_semantic_similarity
GOLD-001,,1.0,16,75,True,True,True,True,True,1,1,1,0.919892
GOLD-002,,1.0,28,119,True,True,True,True,True,2,2,1,0.926158
GOLD-003,,1.0,18,36,True,True,True,True,True,1,1,1,0.959226
GOLD-004,,1.0,18,94,True,True,True,True,True,1,1,1,0.901119
GOLD-005,,1.0,24,154,True,True,True,True,True,6,6,4,0.903971
GOLD-006,,1.0,19,45,True,True,True,True,True,1,1,1,0.949206
GOLD-007,,1.0,15,97,True,True,True,True,True,2,2,2,0.919852
GOLD-008,,1.0,18,70,True,True,True,True,True,1,1,1,0.904017
GOLD-009,,1.0,15,61,True,True,True,True,True,1,1,1,0.912003
GOLD-010,,1.0,16,54,True,True,True,True,True,1,1,1,0.9481
GOLD-011,,1.0,15,28,True,True,True,True,True,1,1,1,0.950554
GOLD-012,,1.0,18,29,True,True,True,True,True,1,1,1,0.969781
GOLD-013,,1.0,13,27,True,True,True,True,True,1,1,1,0.964473
GOLD-014,,1.0,16,35,True,True,True,True,True,1,1,1,0.959489
GOLD-015,,1.0,12,34,True,True,True,True,True,1,1,1,0.950461
GOLD-016,,1.0,16,48,True,True,True,True,True,1,1,1,0.947095
GOLD-017,,1.0,15,43,True,True,True,True,True,1,1,1,0.953601
GOLD-018,,1.0,9,22,True,True,True,True,True,1,1,1,0.955802
GOLD-019,,1.0,13,82,True,True,True,True,True,2,2,1,0.921331
