group_no,group_type,size,task2_ids,min_pair_similarity,average_pair_similarity,max_pair_similarity,exceeds_group_limit
1.0,SIMILAR,8,"['T2-000001', 'T2-000004', 'T2-000008', 'T2-000021', 'T2-000022', 'T2-000025', 'T2-000032', 'T2-000035']",0.907151,0.923877,0.952281,False
2.0,SIMILAR,8,"['T2-000002', 'T2-000003', 'T2-000006', 'T2-000020', 'T2-000023', 'T2-000027', 'T2-000028', 'T2-000033']",0.892683,0.926752,0.956087,False
3.0,SIMILAR,8,"['T2-000005', 'T2-000007', 'T2-000011', 'T2-000015', 'T2-000019', 'T2-000029', 'T2-000030', 'T2-000031']",0.886843,0.935145,0.971849,False
4.0,SIMILAR,4,"['T2-000009', 'T2-000010', 'T2-000036', 'T2-000084']",0.87088,0.899045,0.922256,False
5.0,SIMILAR,8,"['T2-000013', 'T2-000014', 'T2-000016', 'T2-000018', 'T2-000039', 'T2-000041', 'T2-000065', 'T2-000067']",0.871166,0.901416,0.96436,False
6.0,SIMILAR,2,"['T2-000017', 'T2-000068']",0.917692,0.917692,0.917692,False
7.0,SIMILAR,2,"['T2-000026', 'T2-000037']",0.919602,0.919602,0.919602,False
8.0,SIMILAR,8,"['T2-000038', 'T2-000040', 'T2-000045', 'T2-000060', 'T2-000066', 'T2-000092', 'T2-000095', 'T2-000112']",0.850063,0.882889,0.920294,False
9.0,SIMILAR,3,"['T2-000043', 'T2-000044', 'T2-000046']",0.885985,0.910622,0.933316,False
10.0,SIMILAR,7,"['T2-000047', 'T2-000063', 'T2-000064', 'T2-000070', 'T2-000071', 'T2-000072', 'T2-000073']",0.881734,0.908297,0.943882,False
11.0,SIMILAR,2,"['T2-000048', 'T2-000086']",0.88327,0.88327,0.88327,False
12.0,SIMILAR,7,"['T2-000049', 'T2-000054', 'T2-000056', 'T2-000078', 'T2-000080', 'T2-000113', 'T2-000121']",0.904691,0.923937,0.947772,False
13.0,SIMILAR,8,"['T2-000050', 'T2-000051', 'T2-000052', 'T2-000053', 'T2-000055', 'T2-000057', 'T2-000058', 'T2-000059']",0.876437,0.912752,0.963743,False
14.0,SIMILAR,2,"['T2-000061', 'T2-000062']",0.935845,0.935845,0.935845,False
15.0,SIMILAR,2,"['T2-000069', 'T2-000083']",0.90161,0.90161,0.90161,False
16.0,SIMILAR,3,"['T2-000074', 'T2-000077', 'T2-000079']",0.907325,0.921782,0.930736,False
17.0,SIMILAR,2,"['T2-000075', 'T2-000082']",0.92597,0.92597,0.92597,False
18.0,SIMILAR,7,"['T2-000085', 'T2-000088', 'T2-000089', 'T2-000090', 'T2-000091', 'T2-000093', 'T2-000094']",0.845584,0.899312,0.945331,False
19.0,SIMILAR,7,"['T2-000096', 'T2-000098', 'T2-000103', 'T2-000106', 'T2-000107', 'T2-000108', 'T2-000109']",0.87106,0.905776,0.953502,False
20.0,SIMILAR,7,"['T2-000097', 'T2-000100', 'T2-000101', 'T2-000102', 'T2-000105', 'T2-000110', 'T2-000111']",0.8731,0.899362,0.936865,False
21.0,SIMILAR,8,"['T2-000114', 'T2-000115', 'T2-000116', 'T2-000117', 'T2-000118', 'T2-000119', 'T2-000120', 'T2-000122']",0.895719,0.925023,0.957639,False
,SINGLETON,1,['T2-000012'],,,,False
,SINGLETON,1,['T2-000024'],,,,False
,SINGLETON,1,['T2-000034'],,,,False
,SINGLETON,1,['T2-000042'],,,,False
,SINGLETON,1,['T2-000076'],,,,False
,SINGLETON,1,['T2-000081'],,,,False
,SINGLETON,1,['T2-000087'],,,,False
,SINGLETON,1,['T2-000099'],,,,False
,SINGLETON,1,['T2-000104'],,,,False
