gold_id,action_type,requirement_name,requirement_detail,source_task2_ids,source_atomic_ids,sources,processing_type,merge_basis,quality_status
GOLD-001,관리,다중 LLM 통합·확장성·API 최적화 설계,"GPT-4, Llama 등 다양한 LLM을 모듈화하여 독립 개발과 확장성에 유리하게 통합하고 새 LLM과 외부 API를 연계하며 API 호출 속도를 최적화하고 대량 요청을 분산 처리하여야 한다.",T2-000001; T2-000003; T2-000004; T2-000005,SFR-001::SFR-001-001; SFR-001::SFR-001-003; SFR-001::SFR-001-004; SFR-001::SFR-001-005,SFR-001,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 하나의 구현·검수 단위로 통합함.,PASS
GOLD-002,제공,온프레미스 독립 운영 챗봇,"대학의 인프라와 독립하여 운영되는 챗봇을 제공하여야 하며, 온프레미스 서버 자원의 효율적 활용과 사용량 분석을 지원하여야 한다.",T2-000002; T2-000017,SFR-001::SFR-001-002; SFR-003::SFR-003-001,SFR-001; SFR-003,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과 기준으로 통합함.,PASS
GOLD-003,관리,AI 모델 선택·응답 파라미터 조정,"사용자는 적합한 AI 모델을 선택하고 창의성, 신뢰성, 답변 온도 및 유사 응답 개수를 조정할 수 있어야 한다.",T2-000006; T2-000026,SFR-001::SFR-001-006; SFR-005::SFR-005-003,SFR-001; SFR-005,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과 기준으로 통합함.,PASS
GOLD-004,입력,프롬프트 템플릿 관리·편집·활용,"프롬프트 템플릿을 등록·수정·삭제하고 사용자 질의문을 입력할 수 있어야 하며, 사용자는 프롬프트를 쉽게 수정하고 저장할 수 있어야 한다.",T2-000007; T2-000008; T2-000024,SFR-001::SFR-001-007; SFR-001::SFR-001-008; SFR-005::SFR-005-001,SFR-001; SFR-005,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과 기준으로 통합함.,PASS
GOLD-005,제공,대화형 UX·스레드 대화,"ChatGPT 유사 UX를 제공하고 대화 스레드를 저장·검색·복원할 수 있어야 하며, 다수 사용자와의 대화처리, 자원관리, 응답시간과 장애 복구를 지원하여야 한다.",T2-000009; T2-000019,SFR-001::SFR-001-009; SFR-003::SFR-003-003,SFR-001; SFR-003,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과 기준으로 통합함.,PASS
GOLD-006,관리,대화 히스토리 관리,"사용자는 대화 히스토리의 삭제와 다운로드를 요청할 수 있어야 하며, 관리자는 대화 히스토리의 복원과 삭제를 관리할 수 있어야 한다.",T2-000010; T2-000011; T2-000012; T2-000013,SFR-001::SFR-001-010; SFR-001::SFR-001-011; SFR-001::SFR-001-012; SFR-001::SFR-001-013,SFR-001,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 의미와 구현을 기준으로 통합함.,PASS
GOLD-007,관리,상용 LLM API 통합 관리 및 사용량 모니터링,GPT-4 등 상용 LLM API를 등록·연계하고 통합 관리하며 API 사용량을 실시간 모니터링하고 통계를 조회할 수 있어야 한다.,T2-000014; T2-000016,SFR-002::SFR-002-001; SFR-002::SFR-002-002; SFR-002::SFR-002-004,SFR-002,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 하나의 구현·검수 단위로 통합함.,PASS
GOLD-008,조회,상용 LLM 라이센스 만료 알림,상용 LLM 라이센스가 만료되기 전에 알림을 제공하여야 한다.,T2-000015,SFR-002::SFR-002-003,SFR-002,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-009,보안,온프레미스 민감데이터 보안,"첨부문서, 사용자정보와 챗봇 채팅데이터의 외부유출을 차단하여야 한다.",T2-000018,SFR-003::SFR-003-002,SFR-003,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,PASS
GOLD-010,관리,사용자 그룹별 챗봇 설계·검색·매칭·환경·통계 관리,"사용자 그룹별 요구사항에 맞춘 챗봇을 설계하고 사용자 그룹을 생성·수정·삭제하며 챗봇과 매칭할 수 있어야 하며, 사용자는 챗봇을 검색·탐색·필터링하고 선택한 챗봇의 환경을 적용하며 챗봇 이용현황 통계와 대화 리뷰를 조회할 수 있어야 한다.",T2-000020; T2-000027; T2-000029; T2-000030; T2-000031; T2-000037; T2-000049; T2-000050,SFR-003-004; SFR-005-004; SFR-005-006; SFR-005-007; SFR-006-001; SFR-006-002; SFR-006-003; SFR-006-004; SFR-009-001; SFR-009-002; SFR-012-003; SFR-012-004; SFR-012-005; SFR-012-006; SFR-003::SFR-003-004; SFR-005::SFR-005-004; SFR-005::SFR-005-006; SFR-005::SFR-005-007; SFR-006::SFR-006-001; SFR-006::SFR-006-002; SFR-006::SFR-006-003; SFR-006::SFR-006-004; SFR-009::SFR-009-001; SFR-009::SFR-009-002; SFR-012::SFR-012-003; SFR-012::SFR-012-006; SFR-012::SFR-012-004; SFR-012::SFR-012-005,SFR-003; SFR-005; SFR-006; SFR-009; SFR-012,통합,문서 전체에서 동일하거나 상위·하위 및 부분 중복 관계인 기능을 구현·검수 결과를 기준으로 통합하여 사용자 경험과 관리 효율성을 고려한 하나의 요구사항으로 제공함.,PASS
