predicted_gold_id,predicted_name,reference_name,semantic_similarity,match_status
GOLD-018,사업단 성과 조회,사업단 성과 조회,0.994438,MATCHED
GOLD-015,온라인 신청·문의 입력,온라인 신청·문의 등록,0.992315,MATCHED
GOLD-016,온라인 신청·문의 관리자 확인,온라인 신청·문의 접수 확인,0.990645,MATCHED
GOLD-010,RISE사업단·센터 랜딩페이지,RISE사업단·센터 통합 랜딩페이지,0.985723,MATCHED
GOLD-013,관리자 시스템 접근 제어,관리자 시스템 접근 제어,0.985148,MATCHED
GOLD-017,우리대학 SSO 로그인 연계,대학 SSO 통합 로그인,0.979203,MATCHED
GOLD-014,사업단 통합게시판 게시글 조회,통합게시판 공지·주요 게시글 범위별 조회,0.979036,MATCHED
GOLD-006,웹 로그 분석·이용률·방문경로·에러,웹 로그 이용률·방문경로·오류 분석,0.978948,MATCHED
GOLD-003,전자정부 표준프레임워크·반응형 웹,전자정부 표준프레임워크 기반 멀티디바이스 반응형 웹,0.974037,MATCHED
GOLD-004,CMS·웹 접근성·호환성·표준문법,웹 접근성·호환성·표준문법 준수,0.969355,MATCHED
GOLD-007,개인정보 동의·SSL 암호화,개인식별정보·비밀번호 암호화 처리·전송,0.967758,MATCHED
GOLD-019,포털·LLM 검색 최적화,LLM 검색 최적화,0.950923,MATCHED
GOLD-002,타 대학 분석·최적화 홈페이지 구축 및 저작권 관리,대학 최적화 홈페이지 구축방안 수립,0.944541,MATCHED
GOLD-005,사용자 중심 디자인·메뉴·콘텐츠·게시판 관리,직관적 메뉴·UI 구성 및 사용자 편의성 확보,0.942209,MATCHED
GOLD-011,현재 운영중인 CMS 호환성,대학 CMS 호환·기능 활성화 및 홈페이지 콘텐츠 통합 관리,0.907594,MATCHED
GOLD-008,다중 디바이스·브라우저 반응형 웹,사용자 중심 UI·UX 디자인 및 웹 스타일 가이드,0.905506,MATCHED
GOLD-012,현재 운영중인 CMS 기능 활성화,수요기관 제공 콘텐츠 활용,0.895569,MATCHED
GOLD-009,모바일 OS·브라우저 호환성,포털사이트 검색 최적화,0.885316,MATCHED
GOLD-001,최소 요구조건·변경·증감 협의,홈페이지 이미지 제작·수집 및 저작권 준수,0.884634,MATCHED
,,개인정보 수집·이용 동의 절차,,MISSED_REFERENCE
